tract_geoid,community_plan_area,council_district,pct_severely_rent_burdened,pct_renter_occupied,median_household_income,median_gross_rent,pressure_score_equal_weight,pressure_score_burden_weighted
06037265304,Westwood,5,80.0,98.9,18366.0,2367.0,96.4,96.1
06037265307,Westwood,5,64.6,100.0,27152.0,1974.0,89.5,86.3
06037265303,Westwood,5,66.9,97.1,33798.0,2430.0,88.5,86.3
06037224702,South Los Angeles,9,50.1,100.0,11270.0,1919.0,85.9,79.4
06037209202,Westlake,1,51.9,100.0,38443.0,1424.0,82.9,77.6
06037205120,Boyle Heights,14,53.3,90.7,28516.0,1335.0,81.7,77.1
06037209103,Westlake,1,45.8,100.0,32550.0,1265.0,81.3,74.6
06037265306,Westwood,5,50.2,94.0,31757.0,2151.0,81.2,75.8
06037236203,West Adams - Baldwin Hills - Leimert,10,47.8,96.5,33526.0,1489.0,80.8,74.8
06037224701,South Los Angeles,9,46.7,99.3,38098.0,2139.0,80.7,74.4
06037209300,Westlake,1,44.9,99.6,35446.0,1357.0,80.4,73.7
06037238320,South Los Angeles,8,47.6,91.8,27895.0,1214.0,79.9,74.1
06037301601,,,55.3,87.5,40617.0,1860.0,79.8,76.3
06037242600,Southeast Los Angeles,15,38.5,98.8,19955.0,926.0,79.8,71.3
06037236205,West Adams - Baldwin Hills - Leimert,10,44.6,96.2,32115.0,1412.0,79.6,73.0
06037222700,South Los Angeles,9,46.3,100.0,51250.0,1844.0,79.0,73.0
06037221810,South Los Angeles,8,43.6,95.1,31815.0,1654.0,78.9,72.1
06037234902,West Adams - Baldwin Hills - Leimert,8,48.7,86.5,28415.0,1117.0,78.5,73.4
06037209105,Westlake,1,38.1,100.0,34092.0,1288.0,78.1,69.9
06037221820,South Los Angeles,9,42.4,91.7,26236.0,1864.0,78.0,71.1
06037192610,Wilshire,13,45.7,96.3,48558.0,1676.0,77.8,71.9
06037600303,,,46.4,89.3,34933.0,1373.0,77.6,72.0
06037101222,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,47.7,92.1,45662.0,1817.0,77.6,72.4
06037575801,,,41.1,96.8,39872.0,1504.0,77.4,70.3
06037212303,Wilshire,10,37.1,100.0,36758.0,1842.0,77.3,69.0
06037209520,Westlake,1,40.9,97.8,43266.0,1227.0,77.2,70.0
06037128303,Van Nuys - North Sherman Oaks,6,43.9,94.3,43750.0,1468.0,77.1,70.9
06037119340,Mission Hills - Panorama City - North Hills,6,40.6,99.2,46250.0,1570.0,77.1,69.9
06037302504,,,50.1,86.7,43924.0,1827.0,77.0,72.7
06037111304,Granada Hills - Knollwood,12,47.8,93.2,53989.0,1637.0,76.9,71.9
