year_month,month_start,residential_permit_count,total_valuation,rolling_12mo_total
2020-01,2020-01-01,4115,329272218.85,4115.0
2020-02,2020-02-01,4103,233943809.16,8218.0
2020-03,2020-03-01,3029,289359562.44,11247.0
2020-04,2020-04-01,1578,148329708.66,12825.0
2020-05,2020-05-01,2315,142745129.3,15140.0
2020-06,2020-06-01,2680,102527160.69,17820.0
2020-07,2020-07-01,3133,177720548.82,20953.0
2020-08,2020-08-01,3069,172280821.92000002,24022.0
2020-09,2020-09-01,3366,272729510.85,27388.0
2020-10,2020-10-01,3563,233990308.10000002,30951.0
2020-11,2020-11-01,2990,209364509.75,33941.0
2020-12,2020-12-01,2900,188823434.96,36841.0
2021-01,2021-01-01,2808,209209542.28,35534.0
2021-02,2021-02-01,2945,201955924.38,34376.0
2021-03,2021-03-01,3409,189339680.29000002,34756.0
2021-04,2021-04-01,3744,237537368.65,36922.0
2021-05,2021-05-01,3088,169483806.17,37695.0
2021-06,2021-06-01,3475,227745200.18,38490.0
2021-07,2021-07-01,3331,302304021.82,38688.0
2021-08,2021-08-01,3417,289966083.34000003,39036.0
2021-09,2021-09-01,3526,284618246.24,39196.0
2021-10,2021-10-01,3438,213318528.42,39071.0
2021-11,2021-11-01,3175,230187186.66,39256.0
2021-12,2021-12-01,2902,258185306.57999998,39258.0
2022-01,2022-01-01,3576,198718933.52,40026.0
2022-02,2022-02-01,3410,230790977.67000002,40491.0
2022-03,2022-03-01,4226,269329132.24,41308.0
2022-04,2022-04-01,3706,343377203.19,41270.0
2022-05,2022-05-01,4005,355076719.71000004,42187.0
2022-06,2022-06-01,4082,254981015.89,42794.0
2022-07,2022-07-01,3675,281628697.09000003,43138.0
2022-08,2022-08-01,4329,348472097.03,44050.0
2022-09,2022-09-01,3766,289576469.26,44290.0
2022-10,2022-10-01,3637,275236493.12,44489.0
2022-11,2022-11-01,3232,262870517.06,44546.0
2022-12,2022-12-01,3144,254956527.39,44788.0
2023-01,2023-01-01,3193,263903356.67000002,44405.0
2023-02,2023-02-01,3360,251396887.25,44355.0
2023-03,2023-03-01,4025,251071595.75,44154.0
2023-04,2023-04-01,3707,233388864.12,44155.0
2023-05,2023-05-01,4277,268235712.23,44427.0
2023-06,2023-06-01,4148,263274225.45000002,44493.0
2023-07,2023-07-01,3777,180769281.42000002,44595.0
2023-08,2023-08-01,4432,256867442.35000002,44698.0
2023-09,2023-09-01,4103,209485862.24,45035.0
2023-10,2023-10-01,4455,200095941.26000002,45853.0
2023-11,2023-11-01,3714,250609636.37,46335.0
2023-12,2023-12-01,3240,193085184.89,46431.0
2024-01,2024-01-01,3681,215091754.4,46919.0
2024-02,2024-02-01,3498,186454508.22,47057.0
2024-03,2024-03-01,3794,205398462.94,46826.0
2024-04,2024-04-01,4121,224605136.73,47240.0
2024-05,2024-05-01,4364,242914218.56,47327.0
2024-06,2024-06-01,3778,230064109.44,46957.0
2024-07,2024-07-01,4248,181507616.14,47428.0
2024-08,2024-08-01,4252,216876629.93,47248.0
2024-09,2024-09-01,4245,197729606.17000002,47390.0
2024-10,2024-10-01,4473,232970233.34,47408.0
2024-11,2024-11-01,3698,228689154.41,47392.0
2024-12,2024-12-01,3536,224550747.42000002,47688.0
2025-01,2025-01-01,3745,171980955.95,47752.0
2025-02,2025-02-01,3660,211290627.29000002,47914.0
2025-03,2025-03-01,4083,307104675.71999997,48203.0
2025-04,2025-04-01,3988,216775127.02,48070.0
2025-05,2025-05-01,3866,243324003.05,47572.0
2025-06,2025-06-01,3724,345228336.02,47518.0
2025-07,2025-07-01,3821,251062909.59000003,47091.0
2025-08,2025-08-01,3776,310489524.02,46615.0
2025-09,2025-09-01,3831,314334113.31,46201.0
2025-10,2025-10-01,4140,280460747.47,45868.0
2025-11,2025-11-01,3212,259171495.64,45382.0
2025-12,2025-12-01,3565,380338254.32000005,45411.0
2026-01,2026-01-01,3776,277020659.86,45442.0
2026-02,2026-02-01,3504,503643400.46999997,45286.0
2026-03,2026-03-01,4048,372322112.23,45251.0
2026-04,2026-04-01,3790,257889050.14999998,45053.0
2026-05,2026-05-01,3670,378419315.25,44857.0
2026-06,2026-06-01,3757,308858979.23,44890.0
2026-07,2026-07-01,3762,357993009.31,44831.0
2026-08,2026-08-01,3937,538094265.57,44992.0
2026-09,2026-09-01,1595,90773337.14,42756.0
