tract_geoid,community_plan_area,council_district,year,residential_permit_count,prior_year_count,pct_change_yoy
06037101110,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,51,,
06037101122,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,48,,
06037101220,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,32,,
06037101300,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,79,,
06037101400,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,60,,
06037102103,Sun Valley - La Tuna Canyon,2,2020,31,,
06037102104,Sun Valley - La Tuna Canyon,2,2020,27,,
06037102105,Sun Valley - La Tuna Canyon,2,2020,20,,
06037102107,Sun Valley - La Tuna Canyon,7,2020,37,,
06037103101,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,44,,
06037103102,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,62,,
06037103300,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,67,,
06037104103,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,22,,
06037104105,Arleta - Pacoima,7,2020,18,,
06037104108,Arleta - Pacoima,7,2020,16,,
06037104124,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,2020,42,,
06037104201,Arleta - Pacoima,7,2020,22,,
06037104203,Arleta - Pacoima,7,2020,13,,
06037104204,Arleta - Pacoima,7,2020,51,,
06037104310,Arleta - Pacoima,7,2020,21,,
06037104401,Arleta - Pacoima,7,2020,25,,
06037104403,Arleta - Pacoima,7,2020,10,,
06037104404,Arleta - Pacoima,7,2020,13,,
06037104500,Arleta - Pacoima,7,2020,21,,
06037104610,Arleta - Pacoima,7,2020,14,,
06037104620,Arleta - Pacoima,7,2020,12,,
06037104701,Arleta - Pacoima,7,2020,10,,
06037104703,Arleta - Pacoima,7,2020,8,,
06037104704,Arleta - Pacoima,7,2020,7,,
06037104821,Arleta - Pacoima,7,2020,9,,
06037104822,Arleta - Pacoima,7,2020,6,,
06037106010,Sylmar,7,2020,22,,
06037106020,Sylmar,7,2020,57,,
06037106111,Sylmar,7,2020,30,,
06037106112,Sylmar,7,2020,34,,
06037106113,Sylmar,7,2020,77,,
06037106114,Sylmar,7,2020,33,,
06037106403,Sylmar,7,2020,37,,
06037106405,Sylmar,7,2020,16,,
06037106406,Sylmar,7,2020,26,,
06037106408,Sylmar,7,2020,3,,
06037106510,Sylmar,7,2020,30,,
06037106520,Sylmar,7,2020,41,,
06037106603,Granada Hills - Knollwood,12,2020,26,,
06037106604,Sylmar,7,2020,51,,
06037106641,Granada Hills - Knollwood,12,2020,35,,
06037106642,Granada Hills - Knollwood,12,2020,54,,
06037106643,Granada Hills - Knollwood,12,2020,36,,
06037106645,Granada Hills - Knollwood,12,2020,50,,
06037106646,Granada Hills - Knollwood,12,2020,60,,
06037106648,Sylmar,7,2020,9,,
06037106649,Sylmar,7,2020,27,,
06037107010,Sylmar,7,2020,32,,
06037107020,Sylmar,7,2020,31,,
06037108101,Chatsworth - Porter Ranch,12,2020,24,,
06037108102,Chatsworth - Porter Ranch,12,2020,36,,
06037108103,Chatsworth - Porter Ranch,12,2020,59,,
06037108104,Chatsworth - Porter Ranch,12,2020,24,,
06037108202,Chatsworth - Porter Ranch,12,2020,465,,
06037109100,Mission Hills - Panorama City - North Hills,7,2020,93,,
06037109200,Granada Hills - Knollwood,12,2020,53,,
06037109300,Granada Hills - Knollwood,12,2020,49,,
06037109400,Mission Hills - Panorama City - North Hills,7,2020,16,,
06037109500,Arleta - Pacoima,7,2020,33,,
06037109601,Mission Hills - Panorama City - North Hills,7,2020,59,,
06037109603,Mission Hills - Panorama City - North Hills,7,2020,44,,
06037109604,Mission Hills - Panorama City - North Hills,7,2020,36,,
06037109700,Granada Hills - Knollwood,12,2020,64,,
06037109800,Granada Hills - Knollwood,12,2020,55,,
06037111100,Granada Hills - Knollwood,12,2020,44,,
06037111201,Granada Hills - Knollwood,12,2020,62,,
06037111202,Granada Hills - Knollwood,12,2020,66,,
06037111204,Northridge,12,2020,87,,
06037111205,Northridge,12,2020,19,,
06037111206,Northridge,12,2020,85,,
06037111302,Northridge,12,2020,47,,
06037113101,Chatsworth - Porter Ranch,12,2020,47,,
06037113102,Chatsworth - Porter Ranch,12,2020,73,,
06037113211,Chatsworth - Porter Ranch,12,2020,24,,
06037113212,Chatsworth - Porter Ranch,12,2020,34,,
06037113213,Chatsworth - Porter Ranch,12,2020,42,,
06037113231,Chatsworth - Porter Ranch,12,2020,33,,
06037113232,Chatsworth - Porter Ranch,12,2020,59,,
06037113234,Chatsworth - Porter Ranch,3,2020,7,,
06037113237,Chatsworth - Porter Ranch,12,2020,33,,
06037113301,Chatsworth - Porter Ranch,12,2020,34,,
06037113303,Chatsworth - Porter Ranch,12,2020,54,,
06037113322,Chatsworth - Porter Ranch,12,2020,63,,
06037115101,Northridge,12,2020,76,,
06037115104,Northridge,12,2020,18,,
06037115202,Northridge,12,2020,61,,
06037115301,Northridge,12,2020,32,,
06037115302,Northridge,12,2020,24,,
06037115401,Northridge,12,2020,42,,
06037115403,Northridge,12,2020,90,,
06037115404,Northridge,12,2020,35,,
06037117101,Mission Hills - Panorama City - North Hills,7,2020,42,,
06037117102,Mission Hills - Panorama City - North Hills,7,2020,17,,
06037117201,Mission Hills - Panorama City - North Hills,7,2020,13,,
06037117202,Mission Hills - Panorama City - North Hills,12,2020,17,,
06037117301,Mission Hills - Panorama City - North Hills,12,2020,38,,
06037117302,Northridge,12,2020,67,,
06037117303,Mission Hills - Panorama City - North Hills,12,2020,57,,
06037117404,Mission Hills - Panorama City - North Hills,12,2020,52,,
06037117405,Mission Hills - Panorama City - North Hills,7,2020,12,,
06037117407,Mission Hills - Panorama City - North Hills,6,2020,11,,
06037117408,Mission Hills - Panorama City - North Hills,6,2020,4,,
06037117510,Mission Hills - Panorama City - North Hills,7,2020,9,,
06037117520,Mission Hills - Panorama City - North Hills,6,2020,17,,
06037117530,Mission Hills - Panorama City - North Hills,6,2020,16,,
06037119001,Sun Valley - La Tuna Canyon,6,2020,38,,
06037119201,Arleta - Pacoima,6,2020,27,,
06037119202,Arleta - Pacoima,6,2020,38,,
06037119310,Mission Hills - Panorama City - North Hills,6,2020,18,,
06037119320,Mission Hills - Panorama City - North Hills,6,2020,8,,
06037119340,Mission Hills - Panorama City - North Hills,6,2020,5,,
06037119341,Mission Hills - Panorama City - North Hills,6,2020,1,,
06037119342,Mission Hills - Panorama City - North Hills,6,2020,9,,
06037119400,Arleta - Pacoima,6,2020,46,,
06037119700,Mission Hills - Panorama City - North Hills,6,2020,41,,
06037119900,Mission Hills - Panorama City - North Hills,6,2020,57,,
06037120010,Mission Hills - Panorama City - North Hills,6,2020,27,,
06037120020,Mission Hills - Panorama City - North Hills,6,2020,16,,
06037120030,Mission Hills - Panorama City - North Hills,6,2020,23,,
06037120103,Mission Hills - Panorama City - North Hills,6,2020,9,,
06037120104,Mission Hills - Panorama City - North Hills,6,2020,10,,
06037120105,Mission Hills - Panorama City - North Hills,6,2020,11,,
06037120106,Mission Hills - Panorama City - North Hills,6,2020,10,,
06037120107,Mission Hills - Panorama City - North Hills,6,2020,12,,
06037120108,Mission Hills - Panorama City - North Hills,6,2020,5,,
06037120300,Mission Hills - Panorama City - North Hills,6,2020,46,,
06037120400,Mission Hills - Panorama City - North Hills,6,2020,30,,
06037121010,Sun Valley - La Tuna Canyon,2,2020,48,,
06037121020,Sun Valley - La Tuna Canyon,2,2020,43,,
06037121101,Sun Valley - La Tuna Canyon,6,2020,14,,
06037121102,Sun Valley - La Tuna Canyon,6,2020,30,,
06037121210,Sun Valley - La Tuna Canyon,6,2020,18,,
06037121221,Sun Valley - La Tuna Canyon,6,2020,21,,
06037121222,Sun Valley - La Tuna Canyon,6,2020,21,,
06037121600,Sun Valley - La Tuna Canyon,2,2020,37,,
06037121801,Sun Valley - La Tuna Canyon,6,2020,23,,
06037121802,Sun Valley - La Tuna Canyon,6,2020,33,,
06037121900,Sun Valley - La Tuna Canyon,6,2020,17,,
06037122000,Sun Valley - La Tuna Canyon,2,2020,52,,
06037122120,Sun Valley - La Tuna Canyon,6,2020,44,,
06037122121,Sun Valley - La Tuna Canyon,2,2020,14,,
06037122122,Sun Valley - La Tuna Canyon,6,2020,7,,
06037122200,Sun Valley - La Tuna Canyon,2,2020,23,,
